,var,med
4555,Zm00001d026190,Zm00001d026190
4556,Zm00001d024538,Zm00001d024538
4557,Zm00001d024916,Zm00001d024916
4558,Zm00001d024190,Zm00001d024190
4559,Zm00001d023578,Zm00001d023578
4560,Zm00001d026278,Zm00001d026278
4561,Zm00001d023446,Zm00001d023446
4562,Zm00001d023404,Zm00001d023404
4563,Zm00001d023484,Zm00001d023484
4564,Zm00001d025518,Zm00001d025518
4565,Zm00001d025612,Zm00001d025612
4566,Zm00001d023779,Zm00001d023779
4567,Zm00001d026140,Zm00001d026140
4568,Zm00001d025953,Zm00001d025953
4569,Zm00001d023515,Zm00001d023515
4570,Zm00001d025258,Zm00001d025258
4571,Zm00001d023880,Zm00001d023880
4572,Zm00001d026492,Zm00001d026492
4573,Zm00001d025625,Zm00001d025625
4574,Zm00001d025718,Zm00001d025718
4575,Zm00001d024707,Zm00001d024707
4576,Zm00001d025218,Zm00001d025218
4577,Zm00001d023621,Zm00001d023621
4578,Zm00001d024342,Zm00001d024342
4579,Zm00001d025662,Zm00001d025662
4580,Zm00001d026158,Zm00001d026158
4581,Zm00001d025132,Zm00001d025132
4582,Zm00001d024061,Zm00001d024061
4583,Zm00001d023489,Zm00001d023489
4584,Zm00001d025974,Zm00001d025974
4585,Zm00001d024198,Zm00001d024198
4586,Zm00001d026304,Zm00001d026304
4587,Zm00001d023588,Zm00001d023588
4588,Zm00001d025121,Zm00001d025121
4589,Zm00001d024861,Zm00001d024861
4590,Zm00001d026658,Zm00001d026658
4591,Zm00001d025238,Zm00001d025238
4592,Zm00001d025252,Zm00001d025252
4593,Zm00001d025698,Zm00001d025698
4594,Zm00001d025016,Zm00001d025016
4595,Zm00001d026543,Zm00001d026543
4596,Zm00001d023437,Zm00001d023437
4597,Zm00001d024925,Zm00001d024925
4598,Zm00001d024777,Zm00001d024777
4599,Zm00001d024914,Zm00001d024914
4600,Zm00001d026211,Zm00001d026211
4601,Zm00001d024103,Zm00001d024103
4602,Zm00001d024796,Zm00001d024796
4603,Zm00001d026395,Zm00001d026395
4604,Zm00001d025680,Zm00001d025680
4605,Zm00001d023217,Zm00001d023217
4606,Zm00001d023991,Zm00001d023991
4607,Zm00001d025494,Zm00001d025494
4608,Zm00001d025834,Zm00001d025834
4609,Zm00001d025407,Zm00001d025407
4610,Zm00001d024330,Zm00001d024330
4611,Zm00001d023625,Zm00001d023625
4612,Zm00001d023721,Zm00001d023721
4613,Zm00001d024200,Zm00001d024200
4614,Zm00001d026701,Zm00001d026701
4615,Zm00001d023346,Zm00001d023346
4616,Zm00001d026333,Zm00001d026333
4617,Zm00001d025154,Zm00001d025154
4618,Zm00001d026127,Zm00001d026127
4619,Zm00001d025739,Zm00001d025739
4620,Zm00001d024816,Zm00001d024816
4621,Zm00001d023600,Zm00001d023600
4622,Zm00001d025113,Zm00001d025113
4623,Zm00001d023635,Zm00001d023635
4624,Zm00001d024514,Zm00001d024514
4625,Zm00001d024160,Zm00001d024160
4626,Zm00001d023884,Zm00001d023884
4627,Zm00001d025538,Zm00001d025538
4628,Zm00001d023389,Zm00001d023389
4629,Zm00001d023914,Zm00001d023914
4630,Zm00001d024340,Zm00001d024340
4631,Zm00001d025395,Zm00001d025395
4632,Zm00001d026144,Zm00001d026144
4633,Zm00001d024703,Zm00001d024703
4634,Zm00001d024447,Zm00001d024447
4635,Zm00001d024571,Zm00001d024571
4636,Zm00001d023952,Zm00001d023952
4637,Zm00001d026336,Zm00001d026336
4638,Zm00001d024838,Zm00001d024838
4639,Zm00001d024262,Zm00001d024262
4640,Zm00001d025716,Zm00001d025716
4641,Zm00001d023826,Zm00001d023826
4642,Zm00001d026267,Zm00001d026267
4643,Zm00001d025151,Zm00001d025151
4644,Zm00001d025052,Zm00001d025052
4645,Zm00001d025261,Zm00001d025261
4646,Zm00001d023339,Zm00001d023339
4647,Zm00001d025751,Zm00001d025751
4648,Zm00001d026139,Zm00001d026139
4649,Zm00001d025528,Zm00001d025528
4650,Zm00001d025590,Zm00001d025590
4651,Zm00001d023333,Zm00001d023333
4652,Zm00001d024678,Zm00001d024678
4653,Zm00001d023433,Zm00001d023433
4654,Zm00001d024660,Zm00001d024660
4655,Zm00001d026360,Zm00001d026360
4656,Zm00001d026097,Zm00001d026097
4657,Zm00001d023653,Zm00001d023653
4658,Zm00001d026224,Zm00001d026224
4659,Zm00001d025330,Zm00001d025330
4660,Zm00001d024477,Zm00001d024477
4661,Zm00001d025216,Zm00001d025216
4662,Zm00001d023581,Zm00001d023581
4663,Zm00001d026563,Zm00001d026563
4664,Zm00001d023478,Zm00001d023478
4665,Zm00001d025694,Zm00001d025694
4666,Zm00001d024512,Zm00001d024512
4667,Zm00001d023462,Zm00001d023462
4668,Zm00001d026103,Zm00001d026103
4669,Zm00001d025326,Zm00001d025326
4670,Zm00001d026037,Zm00001d026037
4671,Zm00001d024023,Zm00001d024023
4672,Zm00001d024389,Zm00001d024389
4673,Zm00001d026602,Zm00001d026602
4674,Zm00001d023360,Zm00001d023360
4675,Zm00001d025060,Zm00001d025060
4676,Zm00001d024627,Zm00001d024627
4677,Zm00001d025484,Zm00001d025484
4678,Zm00001d023306,Zm00001d023306
4679,Zm00001d024189,Zm00001d024189
4680,Zm00001d026308,Zm00001d026308
4681,Zm00001d026532,Zm00001d026532
4682,Zm00001d025140,Zm00001d025140
4683,Zm00001d024872,Zm00001d024872
4684,Zm00001d023448,Zm00001d023448
4685,Zm00001d024788,Zm00001d024788
4686,Zm00001d026157,Zm00001d026157
4687,Zm00001d025659,Zm00001d025659
4688,Zm00001d025620,Zm00001d025620
4689,Zm00001d023356,Zm00001d023356
4690,Zm00001d026682,Zm00001d026682
4691,Zm00001d025277,Zm00001d025277
4692,Zm00001d025924,Zm00001d025924
4693,Zm00001d024420,Zm00001d024420
4694,Zm00001d026100,Zm00001d026100
4695,Zm00001d023724,Zm00001d023724
